MIEJSCOWOŚĆ 	 WIELKOŚĆ 	 ODLEGŁOŚĆ DO MORZA 	 NAZWA 	 DATA 	 CENA ZA CAŁOŚĆ 	 CENA ZA DZIEŃ 	 NR TELEFONU 	 LINK 
Gardna Mała 	 0 	 1.03 km 	 Pokoje gościnne ;Maciej;Łeba 	 17.08.2020 - 26.08.2020 	 € 634.72 	 70.52 	 --- 	 https://www.booking.com/hotel/pl/pokoje-goscinne-maciej-leba.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaJUCiAEBmAExuAEZyAEM2AEB6AEB-AECiAIBqAIDuALPtKj5BcACAdICJDEzNjU5YmZjLWZmNjgtNDZiMS1iYzRkLTFhZDNhMWZkYjcyOdgCBeACAQ&sid=b3df6e0a2b4347b129c7354ada3470cb&age=15&age=15&all_sr_blocks=662209003_270925834_3_0_0%2C662209009_270925834_3_0_0&checkin=2020-08-16&checkout=2020-08-25&group_adults=4&group_children=2&hapos=49&highlighted_blocks=662209003_270925834_3_0_0%2C662209009_270925834_3_0_0&hpos=24&nflt=pri%3D1%3Boos%3D1%3B&no_rooms=1&req_adults=4&req_age=15&req_age=15&req_children=2&room1=A%2CA%2CA%2CA%2C10%2C15&sr_order=distance_from_search&sr_pri_blocks=662209003_270925834_3_0_0__135000%2C662209009_270925834_3_0_0__135000&srepoch=1596594817&srpvid=632d1200cdec007e&ucfs=1&from=searchresults#hotelTmpl 
Gardna Mała 	 0 	 1.03 km 	 Guesthouse ALOHA Pokoje wejście z zewnątrz, 380m od morza, na skraju lasu 	 17.08.2020 - 26.08.2020 	 $739.03 	 82.11 	 --- 	 https://www.booking.com/hotel/pl/aloha-pokoje-i-domki-380m-do-morza.html?label=gen173nr-1FCAEoggI46AdIM1gEaJUCiAEBmAExuAEZyAEM2AEB6AEB-AECiAIBqAIDuALPtKj5BcACAdICJDEzNjU5YmZjLWZmNjgtNDZiMS1iYzRkLTFhZDNhMWZkYjcyOdgCBeACAQ&sid=b3df6e0a2b4347b129c7354ada3470cb&age=15&age=15&all_sr_blocks=652949801_266344403_3_0_0%2C652949801_266344403_3_0_0&checkin=2020-08-16&checkout=2020-08-25&group_adults=4&group_children=2&hapos=9&highlighted_blocks=652949801_266344403_3_0_0%2C652949801_266344403_3_0_0&hpos=9&nflt=pri%3D1%3Boos%3D1%3B&no_rooms=1&req_adults=4&req_age=15&req_age=15&req_children=2&room1=A%2CA%2CA%2CA%2C10%2C15&sr_order=distance_from_search&sr_pri_blocks=652949801_266344403_3_0_0__139000%2C652949801_266344403_3_0_0__139000&srepoch=1596594812&srpvid=979611fea83d0046&ucfs=1&from=searchresults#hotelTmpl 
Gardna Wielka 	 0 	 0.23 km 	 Apartamenty u Marty 	 17.08.2020 - 26.08.2020 	 € 516.82 	 57.42 	 --- 	 https://www.booking.com/hotel/pl/pensjonat-gardna.html?label=gen173nr-1FCAEoggI46AdIM1gEaDuIAQGYATG4ARjIAQzYAQHoAQH4AQKIAgGoAgS4ApPFqPkFwAIB0gIkZmI1MGQ1NDMtMGM0My00N2Q1LTgyNzMtNTVmOGMzOTFkOGE32AIF4AIB&sid=e940a67422663e02f0977a12ea404163&age=15&age=15&all_sr_blocks=377399406_272837069_6_0_0&checkin=2020-08-17&checkout=2020-08-26&dest_id=-501258&dest_type=city&group_adults=4&group_children=2&hapos=1&highlighted_blocks=377399406_272837069_6_0_0&hpos=1&nflt=pri%3D1%3Boos%3D1%3B&no_rooms=1&req_adults=4&req_age=15&req_age=15&req_children=2&room1=A%2CA%2CA%2CA%2C10%2C15&sr_order=popularity&sr_pri_blocks=377399406_272837069_6_0_0__228200&srepoch=1596596916&srpvid=b530161a33f70005&ucfs=1&from=searchresults#hotelTmpl 
Gardno 	 0 	 2.36 km 	 Pelikan I 	 17.08.2020 - 26.08.2020 	 € 477.59 	 53.07 	 --- 	 https://www.booking.com/hotel/pl/pelikan-i-rowy.html?label=gen173nr-1FCAEoggI46AdIM1gEaDuIAQGYATG4ARnIAQzYAQHoAQH4AQKIAgGoAgO4AtPFqPkFwAIB0gIkMmQxMjRiNGUtODczMy00NTJlLTkwYjktNDA0NjNkYzI1YzA42AIF4AIB&sid=1eafbbbd5965d69a0860cd4e84ba6fdd&age=15&age=15&all_sr_blocks=371294603_191381337_6_0_0&checkin=2020-08-17&checkout=2020-08-26&dest_id=14530&dest_type=region&group_adults=4&group_children=2&hapos=8&highlighted_blocks=371294603_191381337_6_0_0&hpos=8&nflt=pri%3D1%3Boos%3D1%3B&no_rooms=1&req_adults=4&req_age=15&req_age=15&req_children=2&room1=A%2CA%2CA%2CA%2C10%2C15&sr_order=popularity&sr_pri_blocks=371294603_191381337_6_0_0__210880&srepoch=1596596977&srpvid=462416381a16004b&ucfs=1&from=searchresults#hotelTmpl 
Gardno 	 0 	 2.36 km 	 ApartmentsStudio-tani apartament 	 17.08.2020 - 26.08.2020 	 € 710.86 	 78.98 	 --- 	 https://www.booking.com/hotel/pl/studio-tani-apartament.html?label=gen173nr-1FCAEoggI46AdIM1gEaDuIAQGYATG4ARnIAQzYAQHoAQH4AQKIAgGoAgO4AtPFqPkFwAIB0gIkMmQxMjRiNGUtODczMy00NTJlLTkwYjktNDA0NjNkYzI1YzA42AIF4AIB&sid=1eafbbbd5965d69a0860cd4e84ba6fdd&age=15&age=15&all_sr_blocks=307316003_146441855_6_0_0&checkin=2020-08-17&checkout=2020-08-26&dest_id=14530&dest_type=region&group_adults=4&group_children=2&hapos=4&highlighted_blocks=307316003_146441855_6_0_0&hpos=4&nflt=pri%3D1%3Boos%3D1%3B&no_rooms=1&req_adults=4&req_age=15&req_age=15&req_children=2&room1=A%2CA%2CA%2CA%2C10%2C15&sr_order=popularity&sr_pri_blocks=307316003_146441855_6_0_0__313880&srepoch=1596596977&srpvid=462416381a16004b&ucfs=1&from=searchresults#hotelTmpl 
Gardno 	 0 	 2.36 km 	 Bed and Breakfast Michałek w Rowach 	 17.08.2020 - 26.08.2020 	 € 792.48 	 88.05 	 --- 	 https://www.booking.com/hotel/pl/michalek-w-rowach.html?label=gen173nr-1FCAEoggI46AdIM1gEaDuIAQGYATG4ARnIAQzYAQHoAQH4AQKIAgGoAgO4AtPFqPkFwAIB0gIkMmQxMjRiNGUtODczMy00NTJlLTkwYjktNDA0NjNkYzI1YzA42AIF4AIB&sid=1eafbbbd5965d69a0860cd4e84ba6fdd&age=15&age=15&all_sr_blocks=260101230_266500865_4_1_0%2C260101223_266500865_2_1_0&checkin=2020-08-17&checkout=2020-08-26&dest_id=14530&dest_type=region&group_adults=4&group_children=2&hapos=9&highlighted_blocks=260101230_266500865_4_1_0%2C260101223_266500865_2_1_0&hpos=9&nflt=pri%3D1%3Boos%3D1%3B&no_rooms=1&req_adults=4&req_age=15&req_age=15&req_children=2&room1=A%2CA%2CA%2CA%2C10%2C15&sr_order=popularity&sr_pri_blocks=260101230_266500865_4_1_0__188279%2C260101223_266500865_2_1_0__161640&srepoch=1596596977&srpvid=462416381a16004b&ucfs=1&from=searchresults#hotelTmpl 
Gardno 	 0 	 2.36 km 	 Apartamenty u Marty 	 17.08.2020 - 26.08.2020 	 € 516.82 	 57.42 	 --- 	 https://www.booking.com/hotel/pl/pensjonat-gardna.html?label=gen173nr-1FCAEoggI46AdIM1gEaDuIAQGYATG4ARnIAQzYAQHoAQH4AQKIAgGoAgO4AtPFqPkFwAIB0gIkMmQxMjRiNGUtODczMy00NTJlLTkwYjktNDA0NjNkYzI1YzA42AIF4AIB&sid=1eafbbbd5965d69a0860cd4e84ba6fdd&age=15&age=15&all_sr_blocks=377399406_272837069_6_0_0&checkin=2020-08-17&checkout=2020-08-26&dest_id=14530&dest_type=region&group_adults=4&group_children=2&hapos=1&highlighted_blocks=377399406_272837069_6_0_0&hpos=1&nflt=pri%3D1%3Boos%3D1%3B&no_rooms=1&req_adults=4&req_age=15&req_age=15&req_children=2&room1=A%2CA%2CA%2CA%2C10%2C15&sr_order=popularity&sr_pri_blocks=377399406_272837069_6_0_0__228200&srepoch=1596596977&srpvid=462416381a16004b&ucfs=1&from=searchresults#hotelTmpl 
Gardno 	 0 	 2.36 km 	 ApartmentsVilla Zoja 	 17.08.2020 - 26.08.2020 	 € 841.61 	 93.51 	 --- 	 https://www.booking.com/hotel/pl/villa-zoja.html?label=gen173nr-1FCAEoggI46AdIM1gEaDuIAQGYATG4ARnIAQzYAQHoAQH4AQKIAgGoAgO4AtPFqPkFwAIB0gIkMmQxMjRiNGUtODczMy00NTJlLTkwYjktNDA0NjNkYzI1YzA42AIF4AIB&sid=1eafbbbd5965d69a0860cd4e84ba6fdd&age=15&age=15&all_sr_blocks=108692707_241478825_4_0_0%2C108692702_241478825_3_0_0&checkin=2020-08-17&checkout=2020-08-26&dest_id=14530&dest_type=region&group_adults=4&group_children=2&hapos=3&highlighted_blocks=108692707_241478825_4_0_0%2C108692702_241478825_3_0_0&hpos=3&nflt=pri%3D1%3Boos%3D1%3B&no_rooms=1&req_adults=4&req_age=15&req_age=15&req_children=2&room1=A%2CA%2CA%2CA%2C10%2C15&sr_order=popularity&sr_pri_blocks=108692707_241478825_4_0_0__187740%2C108692702_241478825_3_0_0__183870&srepoch=1596596977&srpvid=462416381a16004b&ucfs=1&from=searchresults#hotelTmpl 
Gardno 	 0 	 2.36 km 	 Guesthouse ALOHA Pokoje wejście z zewnątrz, 380m od morza, na skraju lasu 	 17.08.2020 - 26.08.2020 	 € 656.51 	 72.95 	 --- 	 https://www.booking.com/hotel/pl/aloha-pokoje-i-domki-380m-do-morza.html?label=gen173nr-1FCAEoggI46AdIM1gEaDuIAQGYATG4ARnIAQzYAQHoAQH4AQKIAgGoAgO4AtPFqPkFwAIB0gIkMmQxMjRiNGUtODczMy00NTJlLTkwYjktNDA0NjNkYzI1YzA42AIF4AIB&sid=1eafbbbd5965d69a0860cd4e84ba6fdd&age=15&age=15&all_sr_blocks=652949801_266344403_3_0_0%2C652949801_266344403_3_0_0&checkin=2020-08-17&checkout=2020-08-26&dest_id=14530&dest_type=region&group_adults=4&group_children=2&hapos=5&highlighted_blocks=652949801_266344403_3_0_0%2C652949801_266344403_3_0_0&hpos=5&nflt=pri%3D1%3Boos%3D1%3B&no_rooms=1&req_adults=4&req_age=15&req_age=15&req_children=2&room1=A%2CA%2CA%2CA%2C10%2C15&sr_order=popularity&sr_pri_blocks=652949801_266344403_3_0_0__144940%2C652949801_266344403_3_0_0__144940&srepoch=1596596977&srpvid=462416381a16004b&ucfs=1&from=searchresults#hotelTmpl 
Gardno 	 0 	 2.36 km 	 ApartmentsBialy domek 	 17.08.2020 - 26.08.2020 	 € 651.98 	 72.44 	 --- 	 https://www.booking.com/hotel/pl/bialy-domek-rowy1.html?label=gen173nr-1FCAEoggI46AdIM1gEaDuIAQGYATG4ARnIAQzYAQHoAQH4AQKIAgGoAgO4AtPFqPkFwAIB0gIkMmQxMjRiNGUtODczMy00NTJlLTkwYjktNDA0NjNkYzI1YzA42AIF4AIB&sid=1eafbbbd5965d69a0860cd4e84ba6fdd&age=15&age=15&all_sr_blocks=658372401_269983391_6_0_0&checkin=2020-08-17&checkout=2020-08-26&dest_id=14530&dest_type=region&group_adults=4&group_children=2&hapos=7&highlighted_blocks=658372401_269983391_6_0_0&hpos=7&nflt=pri%3D1%3Boos%3D1%3B&no_rooms=1&req_adults=4&req_age=15&req_age=15&req_children=2&room1=A%2CA%2CA%2CA%2C10%2C15&sr_order=popularity&sr_pri_blocks=658372401_269983391_6_0_0__287880&srepoch=1596596977&srpvid=462416381a16004b&ucfs=1&from=searchresults#hotelTmpl 
Gardno 	 0 	 2.36 km 	 ApartmentsApartamenty Vasco da Gama 	 17.08.2020 - 26.08.2020 	 € 850.05 	 94.45 	 --- 	 https://www.booking.com/hotel/pl/apartamenty-vasco-da-gama-rowy.html?label=gen173nr-1FCAEoggI46AdIM1gEaDuIAQGYATG4ARnIAQzYAQHoAQH4AQKIAgGoAgO4AtPFqPkFwAIB0gIkMmQxMjRiNGUtODczMy00NTJlLTkwYjktNDA0NjNkYzI1YzA42AIF4AIB&sid=1eafbbbd5965d69a0860cd4e84ba6fdd&age=15&age=15&all_sr_blocks=128472811_128422890_6_0_0&checkin=2020-08-17&checkout=2020-08-26&dest_id=14530&dest_type=region&group_adults=4&group_children=2&hapos=10&highlighted_blocks=128472811_128422890_6_0_0&hpos=10&nflt=pri%3D1%3Boos%3D1%3B&no_rooms=1&req_adults=4&req_age=15&req_age=15&req_children=2&room1=A%2CA%2CA%2CA%2C10%2C15&sr_order=popularity&sr_pri_blocks=128472811_128422890_6_0_0__375339&srepoch=1596596977&srpvid=462416381a16004b&ucfs=1&from=searchresults#hotelTmpl 
Gardno 	 0 	 2.36 km 	 Campground Rowyhills 	 17.08.2020 - 26.08.2020 	 € 704.78 	 78.31 	 --- 	 https://www.booking.com/hotel/pl/rowyhills-rowy1.html?label=gen173nr-1FCAEoggI46AdIM1gEaDuIAQGYATG4ARnIAQzYAQHoAQH4AQKIAgGoAgO4AtPFqPkFwAIB0gIkMmQxMjRiNGUtODczMy00NTJlLTkwYjktNDA0NjNkYzI1YzA42AIF4AIB&sid=1eafbbbd5965d69a0860cd4e84ba6fdd&age=15&age=15&all_sr_blocks=319851201_130391320_6_0_0&checkin=2020-08-17&checkout=2020-08-26&dest_id=14530&dest_type=region&group_adults=4&group_children=2&hapos=12&highlighted_blocks=319851201_130391320_6_0_0&hpos=12&nflt=pri%3D1%3Boos%3D1%3B&no_rooms=1&req_adults=4&req_age=15&req_age=15&req_children=2&room1=A%2CA%2CA%2CA%2C10%2C15&sr_order=popularity&sr_pri_blocks=319851201_130391320_6_0_0__311194&srepoch=1596596977&srpvid=462416381a16004b&ucfs=1&from=searchresults#hotelTmpl 
Gardno 	 0 	 2.36 km 	 ApartmentApartament Baltic Relax 	 17.08.2020 - 26.08.2020 	 € 898.27 	 99.81 	 --- 	 https://www.booking.com/hotel/pl/apartament-baltic-relax.html?label=gen173nr-1FCAEoggI46AdIM1gEaDuIAQGYATG4ARnIAQzYAQHoAQH4AQKIAgGoAgO4AtPFqPkFwAIB0gIkMmQxMjRiNGUtODczMy00NTJlLTkwYjktNDA0NjNkYzI1YzA42AIF4AIB&sid=1eafbbbd5965d69a0860cd4e84ba6fdd&age=15&age=15&all_sr_blocks=537496001_191161794_6_0_0&checkin=2020-08-17&checkout=2020-08-26&dest_id=14530&dest_type=region&group_adults=4&group_children=2&hapos=11&highlighted_blocks=537496001_191161794_6_0_0&hpos=11&nflt=pri%3D1%3Boos%3D1%3B&no_rooms=1&req_adults=4&req_age=15&req_age=15&req_children=2&room1=A%2CA%2CA%2CA%2C10%2C15&sr_order=popularity&sr_pri_blocks=537496001_191161794_6_0_0__396629&srepoch=1596596977&srpvid=462416381a16004b&ucfs=1&from=searchresults#hotelTmpl 
Gardno 	 0 	 2.36 km 	 ApartmentApartment Rowy ul. Jaworowa 	 17.08.2020 - 26.08.2020 	 $767.21 	 85.25 	 --- 	 https://www.booking.com/hotel/pl/apartment-rowy-ul-jaworowa.html?label=gen173nr-1FCAEoggI46AdIM1gEaDuIAQGYATG4ARnIAQzYAQHoAQH4AQKIAgGoAgO4AtPFqPkFwAIB0gIkMmQxMjRiNGUtODczMy00NTJlLTkwYjktNDA0NjNkYzI1YzA42AIF4AIB&sid=1eafbbbd5965d69a0860cd4e84ba6fdd&age=15&age=15&all_sr_blocks=85472601_238035247_6_0_0&checkin=2020-08-17&checkout=2020-08-26&dest_id=14530&dest_type=region&group_adults=4&group_children=2&hapos=6&highlighted_blocks=85472601_238035247_6_0_0&hpos=6&nflt=pri%3D1%3Boos%3D1%3B&no_rooms=1&req_adults=4&req_age=15&req_age=15&req_children=2&room1=A%2CA%2CA%2CA%2C10%2C15&sr_order=popularity&sr_pri_blocks=85472601_238035247_6_0_0__300750&srepoch=1596596977&srpvid=462416381a16004b&ucfs=1&from=searchresults#hotelTmpl 
Gardno 	 0 	 2.36 km 	 Kamień Bałtyku 	 17.08.2020 - 26.08.2020 	 THB 31,361.84 	 3484.65 	 --- 	 https://www.booking.com/hotel/pl/kamien-baltyku.html?label=gen173nr-1FCAEoggI46AdIM1gEaDuIAQGYATG4ARnIAQzYAQHoAQH4AQKIAgGoAgO4AtPFqPkFwAIB0gIkMmQxMjRiNGUtODczMy00NTJlLTkwYjktNDA0NjNkYzI1YzA42AIF4AIB&sid=1eafbbbd5965d69a0860cd4e84ba6fdd&age=15&age=15&all_sr_blocks=252206305_118688261_0_0_0%2C252206305_118688261_0_0_0%2C252206304_118688261_0_0_0&checkin=2020-08-17&checkout=2020-08-26&dest_id=14530&dest_type=region&group_adults=4&group_children=2&hapos=2&highlighted_blocks=252206305_118688261_0_0_0%2C252206305_118688261_0_0_0%2C252206304_118688261_0_0_0&hpos=2&nflt=pri%3D1%3Boos%3D1%3B&no_rooms=1&req_adults=4&req_age=15&req_age=15&req_children=2&room1=A%2CA%2CA%2CA%2C10%2C15&sr_order=popularity&sr_pri_blocks=252206305_118688261_0_0_0__131399%2C252206305_118688261_0_0_0__131399%2C252206304_118688261_0_0_0__131399&srepoch=1596596977&srpvid=462416381a16004b&ucfs=1&from=searchresults#hotelTmpl 
Gniewino 	 1940 	 3.91 km 	 Agrogajówka 	 17.08.2020 - 26.08.2020 	 € 529.95 	 58.88 	 --- 	 https://www.booking.com/hotel/pl/agrogajowka.html?label=gen173nr-1FCAEoggI46AdIM1gEaEiIAQGYATG4ARjIAQzYAQHoAQH4AQKIAgGoAgS4ArfQqPkFwAIB0gIkYjljZWU5Y2EtM2VkNi00MjRhLTlhODMtYmI0ODg5YTMzZmQ42AIF4AIB&sid=a660562d0348dbcbfbce5452c7d7791a&age=15&age=15&all_sr_blocks=499706601_168976564_2_0_6047313952768%2C499706601_168976564_2_0_549755813888&checkin=2020-08-17&checkout=2020-08-26&dest_id=-501953&dest_type=city&group_adults=4&group_children=2&hapos=1&highlighted_blocks=499706601_168976564_2_0_6047313952768%2C499706601_168976564_2_0_549755813888&hpos=1&nflt=pri%3D1%3Boos%3D1%3B&no_rooms=1&req_adults=4&req_age=15&req_age=15&req_children=2&room1=A%2CA%2CA%2CA%2C10%2C15&sr_order=popularity&sr_pri_blocks=499706601_168976564_2_0_6047313952768__126000%2C499706601_168976564_2_0_549755813888__108000&srepoch=1596598354&srpvid=3cb318e8b3940040&ucfs=1&from=searchresults#hotelTmpl 
Gnieżdżewo 	 1113 	 1.53 km 	 Pokoje Gościnne GABI 	 17.08.2020 - 26.08.2020 	 € 640.93 	 71.21 	 --- 	 https://www.booking.com/hotel/pl/pokoje-goscinne-gabi.html?label=gen173nr-1FCAEoggI46AdIM1gEaDuIAQGYATG4ARnIAQzYAQHoAQH4AQKIAgGoAgO4Ao_RqPkFwAIB0gIkZjFjNTRiMmMtMWFiNC00ZWI0LWIwY2MtZTkzNDlmZTYxMDJj2AIF4AIB&sid=b1e6ad553517ddd585ae8f9f8d2ba440&age=15&age=15&all_sr_blocks=481478003_188669566_4_0_0%2C481478001_188669566_2_0_0&checkin=2020-08-17&checkout=2020-08-26&dest_id=-501968&dest_type=city&group_adults=4&group_children=2&hapos=1&highlighted_blocks=481478003_188669566_4_0_0%2C481478001_188669566_2_0_0&hpos=1&nflt=pri%3D1%3Boos%3D1%3B&no_rooms=1&req_adults=4&req_age=15&req_age=15&req_children=2&room1=A%2CA%2CA%2CA%2C10%2C15&sr_order=popularity&sr_pri_blocks=481478003_188669566_4_0_0__171000%2C481478001_188669566_2_0_0__112000&srepoch=1596598442&srpvid=2a811915bdb8013c&ucfs=1&from=searchresults#hotelTmpl 
Gowidlino 	 0 	 0.23 km 	 Lodge Słoneczna Zatoka Gowidlino 	 17.08.2020 - 26.08.2020 	 THB 20,907.89 	 2323.10 	 --- 	 https://www.booking.com/hotel/pl/sloneczna-zatoka-gowidlino.html?label=gen173nr-1FCAEoggI46AdIM1gEaEiIAQGYATG4ARjIAQzYAQHoAQH4AQKIAgGoAgS4Ar_TqPkFwAIB0gIkZGJkZjRkMDQtNmYwOS00NGM4LWEyNzYtNTAwMWJkMDBmZGU12AIF4AIB&sid=7be0affab7efe260814f4cc24714ace0&age=15&age=15&all_sr_blocks=656199302_269029706_3_0_0%2C656199301_269029706_3_0_0&checkin=2020-08-17&checkout=2020-08-26&dest_id=-502826&dest_type=city&group_adults=4&group_children=2&hapos=1&highlighted_blocks=656199302_269029706_3_0_0%2C656199301_269029706_3_0_0&hpos=1&nflt=pri%3D1%3Boos%3D1%3B&no_rooms=1&req_adults=4&req_age=15&req_age=15&req_children=2&room1=A%2CA%2CA%2CA%2C10%2C15&sr_order=popularity&sr_pri_blocks=656199302_269029706_3_0_0__117000%2C656199301_269029706_3_0_0__135000&srepoch=1596598747&srpvid=380319ad9bfb0074&ucfs=1&from=searchresults#hotelTmpl 
Grzybno 	 0 	 5.48 km 	 Checz Gościnna 	 17.08.2020 - 26.08.2020 	 HK$ 8,159.02 	 906.56 	 --- 	 https://www.booking.com/hotel/pl/checz-goscinna.html?label=gen173nr-1FCAEoggI46AdIM1gEaHGIAQGYATG4ARnIAQzYAQHoAQH4AQKIAgGoAgO4AqbYqPkFwAIB0gIkNGFhOTc2MDgtOTBhNy00ZGE4LWFhM2ItNDIxZDQzNzk1MjM02AIF4AIB&sid=ce1207528247adf0559cba4737a823ee&age=15&age=15&all_sr_blocks=470999303_164934727_3_0_0%2C470999303_164934727_3_0_0&checkin=2020-08-17&checkout=2020-08-26&dest_id=-503673&dest_type=city&group_adults=4&group_children=2&hapos=1&highlighted_blocks=470999303_164934727_3_0_0%2C470999303_164934727_3_0_0&hpos=1&nflt=pri%3D1%3Boos%3D1%3B&no_rooms=1&req_adults=4&req_age=15&req_age=15&req_children=2&room1=A%2CA%2CA%2CA%2C10%2C15&sr_order=popularity&sr_pri_blocks=470999303_164934727_3_0_0__198000%2C470999303_164934727_3_0_0__198000&srepoch=1596599412&srpvid=245d1afa62f10047&ucfs=1&from=searchresults#hotelTmpl 
Jamno 	 0 	 0.86 km 	 Dom Gościnny Zielony Zakątek 	 17.08.2020 - 26.08.2020 	 € 876.46 	 97.38 	 --- 	 https://www.booking.com/hotel/pl/dom-goscinny-zielony-zakatek.html?label=gen173nr-1FCAEoggI46AdIM1gEaHGIAQGYATG4ARnIAQzYAQHoAQH4AQKIAgGoAgO4ArXtqPkFwAIB0gIkZDNkZWUzYjItZDQyZS00MjIxLTllNDAtODA2MTNiMDI3OTAw2AIF4AIB&sid=918b5073eb4122fda302f5e4942cd19f&age=15&age=15&all_sr_blocks=353041004_179783578_4_0_1099511627776&checkin=2020-08-17&checkout=2020-08-26&dest_id=14223&dest_type=region&group_adults=4&group_children=2&hapos=20&highlighted_blocks=353041004_179783578_4_0_1099511627776&hpos=20&nflt=pri%3D1%3Boos%3D1%3B&no_rooms=1&req_adults=4&req_age=15&req_age=15&req_children=2&room1=A%2CA%2CA%2CA%2C10%2C15&sr_order=popularity&sr_pri_blocks=353041004_179783578_4_0_1099511627776__386999&srepoch=1596602116&srpvid=57c52042f8110182&ucfs=1&from=searchresults#hotelTmpl 
Jamno 	 0 	 0.86 km 	 Campground Camping Mauritius 	 17.08.2020 - 26.08.2020 	 $591.49 	 65.72 	 --- 	 https://www.booking.com/hotel/pl/camping-mauritius.html?label=gen173nr-1FCAEoggI46AdIM1gEaHGIAQGYATG4ARnIAQzYAQHoAQH4AQKIAgGoAgO4ArXtqPkFwAIB0gIkZDNkZWUzYjItZDQyZS00MjIxLTllNDAtODA2MTNiMDI3OTAw2AIF4AIB&sid=918b5073eb4122fda302f5e4942cd19f&age=15&age=15&all_sr_blocks=355949416_118239526_4_0_0%2C355949417_118239526_2_0_0&checkin=2020-08-17&checkout=2020-08-26&dest_id=14223&dest_type=region&group_adults=4&group_children=2&hapos=9&highlighted_blocks=355949416_118239526_4_0_0%2C355949417_118239526_2_0_0&hpos=9&nflt=pri%3D1%3Boos%3D1%3B&no_rooms=1&req_adults=4&req_age=15&req_age=15&req_children=2&room1=A%2CA%2CA%2CA%2C10%2C15&sr_order=popularity&sr_pri_blocks=355949416_118239526_4_0_0__147200%2C355949417_118239526_2_0_0__86100&srepoch=1596602116&srpvid=57c52042f8110182&ucfs=1&from=searchresults#hotelTmpl 
Jamno 	 0 	 0.86 km 	 Oceania Mielno 	 17.08.2020 - 26.08.2020 	 $930.43 	 103.38 	 --- 	 https://www.booking.com/hotel/pl/oceania-mielno.html?label=gen173nr-1FCAEoggI46AdIM1gEaHGIAQGYATG4ARnIAQzYAQHoAQH4AQKIAgGoAgO4ArXtqPkFwAIB0gIkZDNkZWUzYjItZDQyZS00MjIxLTllNDAtODA2MTNiMDI3OTAw2AIF4AIB&sid=918b5073eb4122fda302f5e4942cd19f&age=15&age=15&all_sr_blocks=252004516_200059969_2_0_0%2C252004502_200059969_2_0_0%2C252004514_200059969_2_0_0&checkin=2020-08-17&checkout=2020-08-26&dest_id=14223&dest_type=region&group_adults=4&group_children=2&hapos=10&highlighted_blocks=252004516_200059969_2_0_0%2C252004502_200059969_2_0_0%2C252004514_200059969_2_0_0&hpos=10&nflt=pri%3D1%3Boos%3D1%3B&no_rooms=1&req_adults=4&req_age=15&req_age=15&req_children=2&room1=A%2CA%2CA%2CA%2C10%2C15&sr_order=popularity&sr_pri_blocks=252004516_200059969_2_0_0__115739%2C252004502_200059969_2_0_0__120239%2C252004514_200059969_2_0_0__123739&srepoch=1596602116&srpvid=57c52042f8110182&ucfs=1&from=searchresults#hotelTmpl 
Jamno 	 0 	 0.86 km 	 Villa Mewa 	 17.08.2020 - 26.08.2020 	 HK$ 7,417.29 	 824.14 	 --- 	 https://www.booking.com/hotel/pl/villa-mewa.html?label=gen173nr-1FCAEoggI46AdIM1gEaHGIAQGYATG4ARnIAQzYAQHoAQH4AQKIAgGoAgO4ArXtqPkFwAIB0gIkZDNkZWUzYjItZDQyZS00MjIxLTllNDAtODA2MTNiMDI3OTAw2AIF4AIB&sid=918b5073eb4122fda302f5e4942cd19f&age=15&age=15&all_sr_blocks=264771814_105518908_6_0_0&checkin=2020-08-17&checkout=2020-08-26&dest_id=14223&dest_type=region&group_adults=4&group_children=2&hapos=18&highlighted_blocks=264771814_105518908_6_0_0&hpos=18&nflt=pri%3D1%3Boos%3D1%3B&no_rooms=1&req_adults=4&req_age=15&req_age=15&req_children=2&room1=A%2CA%2CA%2CA%2C10%2C15&sr_order=popularity&sr_pri_blocks=264771814_105518908_6_0_0__370800&srepoch=1596602116&srpvid=57c52042f8110182&ucfs=1&from=searchresults#hotelTmpl 
Jamno 	 0 	 0.86 km 	 Marka Pokoje Gościnne 	 17.08.2020 - 26.08.2020 	 € 834.56 	 92.73 	 --- 	 https://www.booking.com/hotel/pl/marka-pokoje-goscinne.html?label=gen173nr-1FCAEoggI46AdIM1gEaHGIAQGYATG4ARnIAQzYAQHoAQH4AQKIAgGoAgO4ArXtqPkFwAIB0gIkZDNkZWUzYjItZDQyZS00MjIxLTllNDAtODA2MTNiMDI3OTAw2AIF4AIB&sid=918b5073eb4122fda302f5e4942cd19f&age=15&age=15&all_sr_blocks=195470705_206262426_4_0_0%2C195470707_206262426_2_0_0&checkin=2020-08-17&checkout=2020-08-26&dest_id=14223&dest_type=region&group_adults=4&group_children=2&hapos=5&highlighted_blocks=195470705_206262426_4_0_0%2C195470707_206262426_2_0_0&hpos=5&nflt=pri%3D1%3Boos%3D1%3B&no_rooms=1&req_adults=4&req_age=15&req_age=15&req_children=2&room1=A%2CA%2CA%2CA%2C10%2C15&sr_order=popularity&sr_pri_blocks=195470705_206262426_4_0_0__226000%2C195470707_206262426_2_0_0__142500&srepoch=1596602116&srpvid=57c52042f8110182&ucfs=1&from=searchresults#hotelTmpl 
